,precision,recall,f1-score,support
10,0.7948831054256726,0.8965174129353234,0.8426467149871404,2010.0
40,0.8903192584963955,0.853405725567621,0.8714717741935484,2026.0
50,0.9219785823559409,0.8910793494332183,0.906265664160401,2029.0
60,0.8964003511852502,0.9917435648372996,0.9416647452155869,2059.0
1140,0.8112612612612613,0.8991512730903645,0.8529481411318968,2003.0
1160,0.9298331697742885,0.9203496843127732,0.9250671222845985,2059.0
1180,0.9636363636363636,0.9805,0.9719950433705081,2000.0
1280,0.7401628222523745,0.5538071065989848,0.6335656213704994,1970.0
1281,0.85068093385214,0.8328571428571429,0.84167468719923,2100.0
1300,0.7759249609171444,0.7093854216293473,0.7411647585863613,2099.0
1301,0.9661691542288557,0.972458688032048,0.9693037184926379,1997.0
1302,0.8300189393939394,0.8331749049429658,0.8315939278937382,2104.0
1320,0.8857988165680474,0.7403560830860534,0.8065732758620691,2022.0
1560,0.714713216957606,0.7055637616937469,0.7101090188305254,2031.0
1920,0.8952234206471494,0.8523227383863081,0.873246492985972,2045.0
1940,0.8492753623188406,0.9884337349397591,0.9135857461024499,2075.0
2060,0.6461336828309305,0.7096928982725528,0.6764235078893208,2084.0
2220,0.9136657433056325,0.9700980392156863,0.9410366143604374,2040.0
2280,0.7774208352455255,0.8390292223873205,0.8070509766555504,2019.0
2403,0.7213261648745519,0.8058058058058059,0.7612293144208038,1998.0
2462,0.9073148568832349,0.9577937649880096,0.9318712085860942,2085.0
2522,0.8735440931780366,0.752868068833652,0.8087291399229781,2092.0
2582,0.8547227926078029,0.8295964125560538,0.8419721871049305,2007.0
2583,0.8097475044039929,0.6789758739537174,0.738618103910016,2031.0
2585,0.8980532786885246,0.8411708253358925,0.8686818632309217,2084.0
2705,0.8624192059095106,0.934934934934935,0.8972142170989433,1998.0
2905,0.9688826025459689,0.9966052376333656,0.982548410231891,2062.0
accuracy,0.849643563278855,0.849643563278855,0.849643563278855,0.849643563278855
macro avg,0.8499818696201845,0.8495436176392573,0.8477130368918168,55129.0
weighted avg,0.8500475299049106,0.849643563278855,0.8478118891406091,55129.0
