,precision,recall,f1-score,support
10,0.7437691298644512,0.8462686567164179,0.7917151501047243,2010.0
40,0.8289205702647657,0.8035538005923001,0.8160401002506267,2026.0
50,0.985062893081761,0.6175455889600788,0.7591638897303846,2029.0
60,0.9688172043010753,0.875182127246236,0.9196223526409799,2059.0
1140,0.7655660377358491,0.8102845731402896,0.7872908076643221,2003.0
1160,0.8992395437262357,0.9188926663428849,0.9089598846985347,2059.0
1180,0.9959967974379503,0.622,0.7657740843336411,2000.0
1280,0.5760473588342441,0.6421319796954315,0.6072971675468074,1970.0
1281,0.8517156862745098,0.6619047619047619,0.744908896034298,2100.0
1300,0.7176063303659743,0.6912815626488804,0.7041980101917011,2099.0
1301,0.9841384282624369,0.6835252879318978,0.8067375886524822,1997.0
1302,0.9033557046979865,0.6397338403041825,0.7490261547022816,2104.0
1320,0.8601003764115432,0.6780415430267063,0.7582964601769911,2022.0
1560,0.6010594947025265,0.7262432299359921,0.6577480490523969,2031.0
1920,0.7925860547219771,0.878239608801956,0.8332173509626538,2045.0
1940,0.9779141104294479,0.7681927710843374,0.8604588394062078,2075.0
2060,0.38713477851083883,0.7883877159309021,0.5192793931731985,2084.0
2220,0.9949698189134809,0.48480392156862745,0.6519446275543836,2040.0
2280,0.6214887640449438,0.8766716196136701,0.7273474419560303,2019.0
2403,0.4954074074074074,0.8368368368368369,0.6223711148334264,1998.0
2462,0.9168674698795181,0.7299760191846523,0.8128170894526036,2085.0
2522,0.759763851044505,0.7997131931166348,0.7792268281322775,2092.0
2582,0.9418851878100638,0.6621823617339312,0.7776477472205969,2007.0
2583,0.4603174603174603,0.7424913835548991,0.5683060109289617,2031.0
2585,0.9710982658959537,0.6449136276391555,0.7750865051903114,2084.0
2705,0.8190519598906107,0.8993993993993994,0.8573473282442748,1998.0
2905,0.9816285998013903,0.9587778855480117,0.9700686947988224,2062.0
accuracy,0.751328701772207,0.751328701772207,0.751328701772207,0.751328701772207
macro avg,0.8074633068381077,0.7513768874984843,0.7604406506531082,55129.0
weighted avg,0.8079632780884933,0.751328701772207,0.7606778570701486,55129.0
