,precision,recall,f1-score,support
10,0.3652085452695829,0.5866013071895425,0.45015673981191223,612.0
40,0.4716599190283401,0.4472168905950096,0.45911330049261084,521.0
50,0.35269709543568467,0.23809523809523808,0.28428093645484953,357.0
60,0.21568627450980393,0.6149068322981367,0.3193548387096774,161.0
1140,0.33289473684210524,0.46938775510204084,0.38953040800615857,539.0
1160,0.7928759894459103,0.7646310432569975,0.778497409326425,786.0
1180,0.3333333333333333,0.22602739726027396,0.2693877551020408,146.0
1280,0.2357563850687623,0.12486992715920915,0.163265306122449,961.0
1281,0.22377622377622378,0.07547169811320754,0.1128747795414462,424.0
1300,0.4002079002079002,0.3952772073921971,0.39772727272727276,974.0
1301,0.5660377358490566,0.5325443786982249,0.5487804878048782,169.0
1302,0.3388235294117647,0.28402366863905326,0.3090128755364807,507.0
1320,0.41581632653061223,0.2425595238095238,0.30639097744360905,672.0
1560,0.36994727592267135,0.4155972359328727,0.391445839144584,1013.0
1920,0.6906729634002361,0.6956004756242569,0.6931279620853081,841.0
1940,0.2591093117408907,0.46715328467153283,0.3333333333333333,137.0
2060,0.3768971332209106,0.43440233236151604,0.4036117381489842,1029.0
2220,0.16428571428571428,0.13529411764705881,0.14838709677419354,170.0
2280,0.5273052820053715,0.6252653927813163,0.5721223895094706,942.0
2403,0.4213075060532688,0.5294117647058824,0.4692134831460674,986.0
2462,0.30030959752321984,0.31699346405228757,0.30842607313195547,306.0
2522,0.6552132701421801,0.5580221997981837,0.602724795640327,991.0
2582,0.3123543123543124,0.29004329004329005,0.30078563411896747,462.0
2583,0.7626666666666667,0.6985832926233513,0.7292197858235595,2047.0
2585,0.4401114206128134,0.30095238095238097,0.3574660633484163,525.0
2705,0.6190476190476191,0.7543520309477756,0.6800348735832606,517.0
2905,0.8008849557522124,0.9576719576719577,0.872289156626506,189.0
accuracy,0.4822774375883184,0.4822774375883184,0.4822774375883184,0.4822774375883184
macro avg,0.4349958156828581,0.45114652175638215,0.43150227079610165,16984.0
weighted avg,0.4832468252973418,0.4822774375883184,0.4752089676829983,16984.0
