prdtypecode,precision,recall,f1-score,support
10,0.44631901840490795,0.4539781591263651,0.45011600928074247,641.0
1140,0.4083333333333333,0.18386491557223264,0.2535575679172057,533.0
1160,0.5899053627760252,0.677536231884058,0.6306913996627318,828.0
1180,0.7142857142857143,0.062111801242236024,0.11428571428571428,161.0
1280,0.13636363636363635,0.10636079249217935,0.1195079086115993,959.0
1281,0.2631578947368421,0.023094688221709007,0.04246284501061571,433.0
1300,0.38634471273938387,0.45986124876114964,0.41990950226244345,1009.0
1301,0.7209302325581395,0.19135802469135801,0.3024390243902439,162.0
1302,0.5977011494252874,0.11504424778761062,0.19294990723562153,452.0
1320,0.3130434782608696,0.17504051863857376,0.22453222453222452,617.0
1560,0.2778297474275023,0.3039918116683726,0.2903225806451613,977.0
1920,0.5527690700104493,0.6388888888888888,0.5927170868347339,828.0
1940,0.7272727272727273,0.08839779005524862,0.15763546798029554,181.0
2060,0.2841246290801187,0.39648033126293997,0.331028522039758,966.0
2220,1.0,0.07514450867052024,0.13978494623655915,173.0
2280,0.3722677595628415,0.5742887249736565,0.4517198508081227,949.0
2403,0.31676300578034683,0.5684647302904564,0.4068299925760951,964.0
2462,0.53125,0.12454212454212454,0.20178041543026706,273.0
2522,0.6113989637305699,0.44402634054562556,0.514441416893733,1063.0
2582,0.5867768595041323,0.13498098859315588,0.21947449768160743,526.0
2583,0.3958281599205364,0.7681927710843374,0.522451655195018,2075.0
2585,0.8660714285714286,0.194,0.3169934640522876,500.0
2705,0.6827094474153298,0.7027522935779816,0.6925858951175407,545.0
2905,0.8424657534246576,0.6949152542372882,0.7616099071207431,177.0
40,0.5333333333333333,0.17706237424547283,0.26586102719033233,497.0
50,0.7301587301587301,0.13813813813813813,0.2323232323232323,333.0
60,1.0,0.18633540372670807,0.31413612565445026,161.0
accuracy,0.4119413531178237,0.4119413531178237,0.4119413531178237,0.4119413531178237
macro avg,0.5513853388176608,0.3206982630710514,0.33933882173959556,16983.0
weighted avg,0.4614652732494433,0.4119413531178237,0.38248731853712353,16983.0
